protein_id	human-baboon	human-cow	human-dog	human-mouse	human-opossum	baboon-cow	baboon-dog	baboon-mouse	baboon-opossum	cow-dog	cow-mouse	cow-opossum	dog-mouse	dog-opossum	mouse-opossum
P13611	0.020519	0.297257	0.052816	0.464264	0.109899	0.073304	0.051193	0.080507	0.114703	0.054646	0.510389	0.109467	0.071822	0.096725	0.123993
P13612	0.028249	0.151654	0.125125	0.169380	0.286095	0.148631	0.122731	0.175978	0.286771	0.152814	0.222172	0.302928	0.197803	0.306229	0.311303
P13639	0.001169	0.007038	0.004683	0.009386	0.022408	0.005863	0.003511	0.008210	0.021221	0.004687	0.009387	0.022425	0.009385	0.017660	0.027180
P13645	0.043038	0.115746	0.087749	0.149079	0.284828	0.104725	0.080132	0.134160	0.281585	0.104380	0.130619	0.288317	0.132718	0.290219	0.304035
P13667	0.018971	0.136838	0.160139	0.122944	0.241877	0.138657	0.155902	0.118840	0.243255	0.133924	0.154043	0.232838	0.188307	0.257422	0.250105
P13671	0.039622	0.226126	0.186486	0.306492	0.437992	0.228727	0.183833	0.319777	0.437094	0.214572	0.335824	0.478373	0.317192	0.458629	0.538391
P13674	0.001898	0.022962	0.017166	0.048608	0.092056	0.024894	0.019087	0.050590	0.092235	0.017197	0.057070	0.098341	0.056936	0.094150	0.113292
P13686	0.022061	0.159382	0.109899	0.167929	0.264952	0.154846	0.105211	0.154485	0.244907	0.130842	0.241334	0.268925	0.201166	0.236216	0.316779
P13693	0.000010	0.005796	0.000010	0.041656	0.071016	0.005796	0.000010	0.041656	0.211962	0.005796	0.047681	0.077059	0.041656	0.071016	0.083317
P13716	0.132108	0.073408	0.056508	0.116184	0.163993	0.160873	0.159912	0.213030	0.281183	0.060334	0.111238	0.157458	0.092656	0.155902	0.184995
P13725	0.088838	0.611053	0.482974	0.839082	1.511876	0.637222	0.516536	0.823213	1.508771	0.590529	0.993496	1.626656	0.964306	1.585058	1.718323
P13726	0.061669	0.350029	0.326612	0.690814	0.584203	0.333992	0.321791	0.682114	0.568921	0.272460	0.646260	0.531250	0.578548	0.579835	0.787297
P13796	0.001593	0.040603	0.017633	0.030703	0.075644	0.040590	0.017627	0.029062	0.075618	0.029106	0.035762	0.075897	0.025747	0.065487	0.074060
P13797	0.000010	0.004757	0.004756	0.009525	0.048865	0.004757	0.004681	0.009525	0.048865	0.004773	0.014318	0.052255	0.014313	0.050546	0.050407
P13798	0.014039	0.098754	0.066079	0.091821	0.219192	0.103320	0.069970	0.093344	0.228915	0.093685	0.123835	0.220449	0.100673	0.206664	0.236904
P13804	0.014610	0.044455	0.053809	0.041993	0.094510	0.047478	0.059759	0.045046	0.097684	0.035510	0.056942	0.088304	0.057076	0.094700	0.101450
P13866	0.041789	0.153245	0.141106	0.132838	0.177550	0.146198	0.123183	0.117029	0.160788	0.116286	0.129944	0.153755	0.118626	0.150382	0.126790
P13929	0.006907	0.020802	0.016150	0.023152	0.034849	0.013848	0.009215	0.016182	0.027838	0.009207	0.013840	0.023132	0.013848	0.023134	0.023164
P13945	0.099807	0.156886	0.185356	0.223453	0.252479	0.185421	0.220792	0.234276	0.272798	0.144861	0.250545	0.271523	0.262819	0.259867	0.313247
P13984	0.012054	0.024401	0.020225	0.020312	0.061636	0.020299	0.016152	0.024411	0.065844	0.024262	0.028299	0.074798	0.024409	0.062719	0.063076
P13987	0.176533	0.821296	0.829215	0.987134	1.503108	0.839165	0.838918	0.923579	1.422829	0.838325	1.260395	1.516806	1.068076	1.497163	1.493903
P13994	0.030314	0.145540	0.134223	0.221328	0.267409	0.143311	0.135116	0.217780	0.285072	0.126048	0.239287	0.301130	0.225590	0.284770	0.299679
P13995	0.013853	0.092279	0.077867	0.080666	0.209222	0.092277	0.077700	0.086351	0.213159	0.083485	0.120762	0.234266	0.095196	0.237663	0.249547
P14061	0.059677	0.383894	0.277160	0.398622	0.366748	0.387857	0.270894	0.398213	0.367027	0.266379	0.405796	0.358954	0.338962	0.284140	0.411583
P14136	0.006782	0.036941	0.060531	0.085143	0.135880	0.034614	0.130200	0.082731	0.131501	0.060928	0.070941	0.139300	0.110329	0.160868	0.150576
P14138	0.036487	0.606097	0.384901	0.513295	0.783997	0.620852	0.379473	0.520425	0.797274	0.459460	0.738755	0.815963	0.586208	0.850442	0.983190
P14151	0.080577	0.278547	0.210333	0.308518	0.453355	0.284615	0.225197	0.331365	0.491242	0.325010	0.419769	0.562620	0.317403	0.467700	0.494661
P14174	0.000010	0.079894	0.061930	0.107526	0.265874	0.079894	0.061930	0.107526	0.265874	0.052644	0.124637	0.245348	0.127000	0.233684	0.342178
P14210	0.017195	0.071015	0.078890	0.098261	0.120939	0.072734	0.079368	0.094710	0.128476	0.036379	0.072654	0.101293	0.079099	0.104705	0.126601
P14222	0.051775	0.322447	0.296953	0.401368	0.653261	0.343547	0.327905	0.393018	0.658388	0.304581	0.428467	0.676917	0.397801	0.635047	0.670987
P14314	0.706056	0.135244	0.101647	0.135406	0.385417	0.788340	0.733002	0.832810	1.197352	0.125471	0.178392	0.427985	0.147623	0.386185	0.377549
P14316	0.008302	0.086609	0.048036	0.074388	0.084622	0.086947	0.051049	0.077533	0.087862	0.080593	0.080662	0.112183	0.056558	0.077727	0.083897
P14317	0.032190	0.119881	0.143432	0.161767	0.497061	0.118945	0.132920	0.159619	0.520317	0.107522	0.145048	0.486229	0.162952	0.528843	0.530738
P14324	0.032497	0.123195	0.145235	0.176592	0.261192	0.116152	0.133687	0.169107	0.260538	0.136346	0.179198	0.262864	0.185311	0.228811	0.275343
P14384	0.035270	0.192722	0.181472	0.173101	0.394023	0.202568	0.182359	0.168103	0.386568	0.231653	0.247744	0.430819	0.237735	0.479476	0.418680
P14406	0.128361	0.152931	0.139639	0.225603	0.327342	0.210935	0.321902	0.238899	0.514818	0.060929	0.180133	0.341553	0.155800	0.367570	0.365259
P14410	0.049248	0.194050	0.174195	0.259355	0.341441	0.197012	0.171086	0.248214	0.328357	0.196748	0.280477	0.362544	0.266786	0.339581	0.371360
P14415	0.003472	0.010442	0.013931	0.028043	0.146155	0.006961	0.010447	0.024535	0.142390	0.003477	0.017497	0.134683	0.021008	0.138498	0.142447
P14416	0.008849	0.031432	0.033703	0.042939	0.118782	0.035959	0.038236	0.045379	0.118530	0.024547	0.042880	0.112989	0.036015	0.113230	0.114391
P14543	0.023619	0.144300	0.132255	0.161337	0.228158	0.141765	0.133423	0.159746	0.230775	0.135311	0.190287	0.253241	0.183818	0.229940	0.266222
P14550	0.068832	0.071620	0.060097	0.071289	0.179039	0.141240	0.079115	0.144191	0.245557	0.073959	0.091159	0.192199	0.090565	0.196271	0.184498
P14598	0.031229	0.146953	0.229754	0.195967	0.290723	0.147026	0.233110	0.184375	0.292962	0.227252	0.180191	0.290682	0.238691	0.388831	0.293384
P14616	0.013591	0.069765	0.075761	0.119630	0.188764	0.070229	0.072840	0.116398	0.187154	0.066957	0.120311	0.178881	0.128310	0.194168	0.231400
P14618	0.043378	0.024141	0.054987	0.022379	0.165589	0.063005	0.012879	0.061348	0.158540	0.057054	0.035558	0.168602	0.067206	0.167621	0.175758
P14625	0.002454	0.021051	0.019741	0.024873	0.078705	0.021017	0.019709	0.027340	0.079894	0.018500	0.033776	0.080218	0.032397	0.081235	0.082902
P14635	0.016125	0.092934	0.073686	0.132211	0.187275	0.095194	0.073203	0.134907	0.198749	0.082984	0.146695	0.188510	0.136258	0.195554	0.227393
P14652	0.047947	0.128016	0.116052	0.221056	0.272584	0.150861	0.132276	0.220169	0.285390	0.110083	0.218428	0.284037	0.187412	0.258129	0.349727
P14653	0.027331	0.125143	0.084277	0.141442	0.291433	0.125325	0.094068	0.157128	0.281269	0.101559	0.160887	0.266459	0.122715	0.270262	0.288657
P14672	0.012168	0.057894	0.043129	0.049494	0.098907	0.057831	0.051471	0.057886	0.103175	0.062503	0.066427	0.105899	0.062351	0.099795	0.096913
P14678	0.000010	0.004426	0.009179	0.013822	0.026854	0.004426	0.009179	0.013822	0.026854	0.013776	0.018439	0.031346	0.004595	0.037166	0.037187
P14679	0.035515	0.142136	0.124413	0.152145	0.236737	0.164092	0.150811	0.173057	0.261196	0.106399	0.202960	0.277748	0.170468	0.251161	0.276732
P14735	0.030906	0.012105	0.028868	0.052441	0.017664	0.041320	0.023468	0.082103	0.076499	0.028836	0.053410	0.019893	0.074645	0.053056	0.038046
P14770	0.030957	0.456228	0.229580	0.394440	0.978475	0.450442	0.241397	0.404424	0.982786	0.489591	0.659682	1.109177	0.380989	0.995243	0.968779
P14778	0.046697	0.331776	0.260392	0.390325	0.715121	0.340965	0.275002	0.395456	0.738101	0.361618	0.542376	0.720041	0.493636	0.692105	0.752932
P14780	0.062780	0.230770	0.224309	0.317376	0.425736	0.224509	0.227914	0.301207	0.415546	0.193860	0.316424	0.431460	0.347101	0.399089	0.516057
P14784	0.060426	0.507354	0.381531	0.597892	0.948681	0.491952	0.379094	0.601008	0.968130	0.442250	0.616397	1.007950	0.603814	0.896485	0.983600
P14854	0.075907	0.166150	0.165114	0.168347	0.263916	0.212089	0.199592	0.185628	0.292491	0.035959	0.086222	0.150731	0.060981	0.153330	0.181975
P14866	0.000010	0.000010	0.000010	0.017537	0.026349	0.000010	0.000010	0.017537	0.026349	0.000010	0.017537	0.026349	0.017537	0.026349	0.033484
P14867	0.002188	0.008772	0.010979	0.013204	0.042772	0.006574	0.008777	0.010995	0.040494	0.006577	0.006593	0.040209	0.006611	0.035817	0.038010
P14868	0.001974	0.040072	0.025895	0.040048	0.044236	0.038076	0.023908	0.038053	0.042234	0.021896	0.042265	0.052652	0.036100	0.042332	0.042310
P14902	0.076153	0.384164	0.443448	0.548175	0.635778	0.402025	0.453368	0.538876	0.632821	0.401101	0.469104	0.554525	0.511205	0.563450	0.651672
P14920	0.061493	0.191135	0.307654	0.216757	0.302679	0.216274	0.322445	0.232347	0.296900	0.301368	0.299465	0.347153	0.427243	0.520528	0.363222
P14921	0.004638	0.016316	0.009294	0.028257	0.030445	0.013986	0.009294	0.023503	0.035194	0.013967	0.033034	0.037544	0.023493	0.035153	0.049804
P14923	0.001305	0.017091	0.014510	0.015745	0.056525	0.018407	0.015830	0.017058	0.057875	0.019845	0.023722	0.064693	0.017157	0.060894	0.064685
P15018	0.010117	0.110361	0.082523	0.227981	0.328795	0.116464	0.088317	0.235382	0.337664	0.088573	0.262720	0.302308	0.207735	0.283602	0.410670
P15036	0.004331	0.088629	0.079647	0.083203	0.225758	0.093299	0.084312	0.087819	0.228629	0.092977	0.128725	0.242343	0.120073	0.232261	0.255545
P15056	0.009591	0.018340	0.017054	0.017905	0.039530	0.013709	0.013015	0.021972	0.039578	0.009156	0.024888	0.035845	0.020880	0.037962	0.046584
P15085	0.043617	0.201590	0.104062	0.198046	0.214247	0.193818	0.095319	0.201408	0.212161	0.186832	0.276816	0.243999	0.166162	0.197132	0.244189
P15086	0.056245	0.192910	0.173390	0.308040	0.297733	0.212496	0.189399	0.315593	0.302912	0.215544	0.323269	0.313454	0.334847	0.328476	0.382910
P15088	0.033898	0.159433	0.182964	0.207462	0.416548	0.161511	0.181226	0.202667	0.404073	0.173350	0.231754	0.431937	0.251772	0.455786	0.433681
P15104	0.000010	0.039050	0.027761	0.056256	0.094965	0.039050	0.027761	0.056256	0.094965	0.022186	0.057001	0.076676	0.053805	0.088828	0.093167
P15121	0.026011	0.150774	0.109476	0.159592	0.247127	0.145769	0.112813	0.158731	0.246286	0.140110	0.179720	0.265908	0.148273	0.221499	0.287659
P15144	0.061935	0.251653	0.253254	0.272805	0.333127	0.267088	0.262036	0.285754	0.340150	0.278126	0.316842	0.367781	0.305363	0.339428	0.348146
P15169	0.046502	0.139571	0.148781	0.180056	0.322110	0.152827	0.160351	0.188673	0.321818	0.103174	0.183526	0.321881	0.202478	0.321239	0.352006
P15172	0.022224	0.081944	0.071285	0.121807	0.276847	0.075553	0.064987	0.115083	0.265088	0.051443	0.110541	0.264368	0.106356	0.262881	0.264216
P15173	0.013798	0.076039	0.075240	0.051759	0.192810	0.081041	0.080188	0.056638	0.183568	0.090232	0.071410	0.191309	0.070757	0.202722	0.199391
P15248	0.143124	0.567031	0.477328	0.611869	1.310203	0.546380	0.474029	0.607183	1.196186	0.565522	0.796870	1.228394	0.677037	1.075381	1.350594
P15260	0.070684	0.518064	0.531911	0.692010	0.993037	0.532009	0.537047	0.711558	1.017565	0.402690	0.764115	0.966693	0.753893	0.969777	1.085707
P15289	0.033950	0.150563	0.130852	0.164650	0.326005	0.147933	0.138116	0.169459	0.325147	0.115320	0.167414	0.347527	0.185482	0.346277	0.384937
P15291	0.046816	0.159547	0.134353	0.148366	0.438902	0.145733	0.128722	0.130667	0.435071	0.153127	0.210817	0.449725	0.178410	0.438049	0.450838
P15309	0.075969	0.225799	0.226947	0.214473	0.427361	0.255314	0.250048	0.225592	0.452889	0.232476	0.281159	0.438067	0.255019	0.455281	0.469702
P15311	0.006884	0.049544	0.027862	0.034893	0.054573	0.053193	0.031408	0.038461	0.058213	0.037113	0.054991	0.056856	0.045597	0.047269	0.053198
P15313	0.003853	0.051721	0.052252	0.063314	0.105811	0.051721	0.052252	0.067397	0.108301	0.060857	0.073670	0.101466	0.073265	0.105110	0.105243
P15336	0.000010	0.018790	0.005589	0.007715	0.035883	0.018790	0.005589	0.007715	0.035883	0.015662	0.018840	0.048153	0.003856	0.037857	0.039204
P15382	0.063959	0.254672	0.225502	0.291320	0.504480	0.254235	0.582206	0.301341	0.508004	0.233278	0.351621	0.510665	0.260201	0.519474	0.544857
P15391	0.089742	0.402432	0.349011	0.435771	0.891691	0.418857	0.358511	0.458260	0.930485	0.356168	0.501592	1.012196	0.445077	0.907914	0.995673
P15408	0.002984	0.024059	0.015036	0.045839	0.093063	0.024066	0.015040	0.042737	0.093091	0.009006	0.039659	0.093832	0.033603	0.090767	0.105396
P15428	0.003717	0.065262	0.056985	0.114220	0.182750	0.065710	0.060872	0.114226	0.187182	0.064987	0.110566	0.192404	0.105641	0.158797	0.195892
P15498	0.073957	0.045928	0.039813	0.073534	0.140166	0.109166	0.102412	0.130942	0.188619	0.034836	0.068369	0.142366	0.059526	0.124231	0.150240
P15514	0.035171	0.230890	0.182500	0.335998	0.595278	0.226460	0.173651	0.322597	0.580634	0.196984	0.419040	0.697666	0.338974	0.609934	0.682510
P15529	0.158705	0.982109	0.913619	0.830209	1.401891	0.963211	0.959855	0.793967	1.438304	0.963693	1.224314	1.358739	1.050082	1.515426	1.582147
P15531	0.020331	0.061601	0.075621	0.062398	0.115339	0.054511	0.075521	0.054794	0.115191	0.067859	0.076544	0.106874	0.082543	0.136325	0.145070
P15559	0.034047	0.098791	0.135408	0.147743	0.223257	0.118103	0.149649	0.140695	0.218871	0.114966	0.173464	0.213920	0.181579	0.231387	0.239328
P15692	0.034502	0.055899	0.109377	0.175080	0.455426	0.085143	0.252695	0.187499	0.528395	0.074108	0.120051	0.133762	0.198821	0.530896	0.482491
P15735	0.007528	0.038547	0.038096	0.067552	0.115987	0.038543	0.040678	0.070225	0.115916	0.046107	0.084367	0.117524	0.078085	0.118923	0.152570
P15822	0.040322	0.328685	0.214566	0.319412	0.392414	0.323607	0.206282	0.317728	0.382504	0.307160	0.428934	0.517349	0.341593	0.404958	0.516729
P15848	0.025892	0.103763	0.113363	0.256106	0.277482	0.097536	0.115506	0.253002	0.268989	0.137379	0.278777	0.278128	0.282108	0.293977	0.367897
P15863	0.043440	0.135385	0.126634	0.125406	0.176034	0.145704	0.142271	0.130487	0.186242	0.080858	0.085681	0.213728	0.073894	0.197779	0.187775
P15880	0.000010	0.010560	0.018605	0.014133	0.025253	0.010560	0.018605	0.014133	0.025253	0.018596	0.010590	0.021309	0.018618	0.030354	0.021384
P15882	0.002205	0.020122	0.017870	0.038121	0.035885	0.017875	0.015627	0.035856	0.033622	0.015530	0.040463	0.038222	0.033562	0.031370	0.047217
P15884	0.000010	0.017453	0.008708	0.017482	0.023268	0.017453	0.009973	0.017356	0.023268	0.014553	0.024860	0.027693	0.017399	0.020372	0.032195
P15907	0.025363	0.183917	0.104872	0.230423	0.509500	0.175390	0.100631	0.232155	0.507559	0.169410	0.283730	0.517786	0.223022	0.490512	0.575680
P15918	0.023221	0.090847	0.182033	0.103814	0.196062	0.099509	0.186786	0.110504	0.204753	0.174874	0.125627	0.215467	0.210444	0.279945	0.229172
P15924	0.011989	0.054515	0.041796	0.049997	0.079183	0.058735	0.044936	0.047406	0.076904	0.050824	0.068717	0.092182	0.052036	0.077333	0.081273
P15927	0.000010	0.064934	0.088546	0.114986	0.154302	0.064934	0.088546	0.114986	0.154302	0.081108	0.114799	0.166469	0.152747	0.186006	0.204163
P15941	0.142823	0.589847	0.695345	0.721332	1.040030	0.528974	0.601187	0.667655	1.019819	0.594517	0.808867	1.099838	0.780419	1.009674	1.020089
P15976	0.017526	0.077408	0.051271	0.154396	0.402601	0.079583	0.053601	0.151427	0.393881	0.079632	0.192202	0.454734	0.169972	0.410842	0.475076
P16035	0.000010	0.076642	0.037513	0.028070	0.255625	0.077024	0.037696	0.028207	0.257089	0.067286	0.082672	0.292841	0.028438	0.243499	0.250258
P16050	0.056879	0.149177	0.182906	0.334707	0.352273	0.150225	0.177049	0.344044	0.333809	0.186096	0.353301	0.335805	0.385366	0.370487	0.516924
P16070	0.045432	0.283565	0.246328	0.343038	0.450171	0.293894	0.243382	0.335534	0.442278	0.256862	0.366137	0.464051	0.336510	0.440432	0.496597
P16083	0.355782	0.230090	0.190821	0.219276	0.343403	0.548578	0.474672	0.466815	0.695792	0.234215	0.254610	0.340983	0.229026	0.354534	0.378223
P16104	0.000010	0.192121	0.007019	0.028333	0.058435	0.192121	0.007019	0.028333	0.058435	0.192259	0.203394	0.162168	0.021195	0.058475	0.059033
P16109	0.056161	0.315250	0.279071	0.346057	0.686484	0.311431	0.275726	0.349381	0.670426	0.273484	0.381573	0.675104	0.362638	0.700396	0.768314
P16144	0.019139	0.119364	0.123393	0.125723	0.210490	0.120613	0.131139	0.120792	0.223016	0.110259	0.129310	0.228215	0.141237	0.238382	0.226988
P16150	0.132014	0.727270	0.857322	0.708037	1.508354	0.752497	0.829935	0.732597	1.444819	0.891018	0.845399	1.644994	0.941651	1.732257	1.507178
P16152	0.048809	0.121935	0.202538	0.135176	0.176239	0.158550	0.225749	0.144021	0.183036	0.188298	0.175860	0.240460	0.248272	0.323801	0.209670
P16219	0.009675	0.101079	0.085619	0.099860	0.171945	0.103432	0.088648	0.102369	0.169010	0.111436	0.125722	0.185301	0.098249	0.156613	0.184063
P16220	0.000010	0.002814	0.000010	0.002814	0.014132	0.002814	0.000010	0.002814	0.014132	0.002814	0.005631	0.016971	0.002814	0.014132	0.016967
P16234	0.009062	0.059597	0.043209	0.084333	0.172333	0.060648	0.041355	0.085231	0.175251	0.058435	0.105189	0.178600	0.092719	0.172751	0.192929
P16260	0.025086	0.057134	0.040537	0.076399	0.198669	0.060442	0.047314	0.083484	0.202322	0.034747	0.064229	0.194103	0.066648	0.193657	0.219152
P16278	0.080825	0.247528	0.216893	0.275506	0.346629	0.247658	0.214399	0.279191	0.356285	0.210806	0.320210	0.355057	0.287394	0.315099	0.359948
P16284	0.081783	0.361444	0.318831	0.448913	0.664420	0.357895	0.310185	0.444977	0.665753	0.323094	0.493832	0.684685	0.463771	0.638777	0.715714
P16298	0.001931	0.003883	0.003865	0.007740	0.013770	0.005813	0.005785	0.009655	0.015705	0.001927	0.005789	0.009761	0.003853	0.011714	0.015640
P16333	0.000010	0.010684	0.008013	0.010694	0.051534	0.010684	0.008013	0.010694	0.051534	0.008009	0.016054	0.051509	0.013378	0.048712	0.062577
P16410	0.027531	0.170379	0.136803	0.317426	0.414658	0.185473	0.140835	0.317855	0.404322	0.128397	0.334260	0.423058	0.278605	0.370937	0.485003
P16422	0.058201	0.191670	0.257954	0.209326	0.384646	0.197330	0.233251	0.191674	0.394216	0.238388	0.250633	0.394082	0.285663	0.448888	0.404449
P16435	0.007430	0.077126	0.067145	0.081687	0.262642	0.075581	0.068683	0.080165	0.272977	0.078362	0.098123	0.289693	0.099380	0.267687	0.280883
P16442	0.051257	0.582708	0.405224	0.324748	0.650033	0.592955	0.423462	0.325813	0.644427	0.585069	0.508945	0.703655	0.442031	0.708498	0.550464
P16444	0.137333	0.229606	0.256893	0.341447	0.411391	0.305711	0.307910	0.424297	0.454083	0.188922	0.329673	0.344217	0.304204	0.371291	0.422415
P16452	0.070864	0.291131	0.268774	0.326717	0.496431	0.297007	0.268232	0.330910	0.518824	0.343885	0.438066	0.563915	0.388843	0.562679	0.552762
P16455	0.085448	0.412874	0.497054	0.387939	0.935086	0.390052	0.485838	0.376665	0.930358	0.341728	0.368293	0.765639	0.472784	0.797403	0.811838
P16473	0.029379	0.133156	0.109321	0.142317	0.260029	0.130960	0.104550	0.137539	0.259242	0.095423	0.142437	0.231163	0.116382	0.232406	0.263774
P16499	0.012936	0.067853	0.049390	0.053073	0.109079	0.067853	0.045758	0.050737	0.106814	0.048088	0.061809	0.116914	0.049538	0.106928	0.112014
P16519	0.003138	0.033419	0.015811	0.032030	0.048218	0.031773	0.014182	0.030328	0.044942	0.033419	0.050440	0.061753	0.038412	0.045033	0.067018
P16520	0.000010	0.026620	0.032412	0.029321	0.062973	0.026620	0.032412	0.029321	0.062973	0.020463	0.023389	0.053583	0.023521	0.050595	0.065833
P16581	0.039783	0.365904	0.241630	0.344326	0.542578	0.376977	0.255455	0.347712	0.537197	0.352654	0.474768	0.585062	0.407528	0.572623	0.655113
P16591	0.015882	0.053270	0.041748	0.072476	0.115596	0.061138	0.048265	0.076648	0.122067	0.036713	0.080681	0.126707	0.075076	0.115930	0.146315
P16615	0.003796	0.014249	0.011938	0.011392	0.026811	0.014288	0.011972	0.011423	0.024943	0.014933	0.014260	0.029703	0.011937	0.023029	0.032633
P16671	0.051994	0.189303	0.194670	0.175993	0.219869	0.184763	0.182057	0.168971	0.213109	0.145990	0.170430	0.232508	0.146722	0.228091	0.224257
P16870	0.006381	0.072799	0.052444	0.034800	0.094052	0.072813	0.050179	0.032575	0.091665	0.082409	0.087147	0.114282	0.061859	0.104875	0.098406
P16871	0.033246	0.284982	0.258053	0.457786	0.770826	0.289889	0.268490	0.476117	0.800025	0.216080	0.494509	0.808638	0.482283	0.795742	0.974918
P16885	0.019121	0.060521	0.047882	0.060706	0.098873	0.063152	0.051921	0.062421	0.107715	0.049795	0.069430	0.108544	0.061566	0.101278	0.111288
P16930	0.085856	0.100289	0.156036	0.120004	0.195664	0.144401	0.168578	0.170959	0.211647	0.151140	0.119537	0.204697	0.175731	0.211325	0.219583
P16949	0.000010	0.000010	0.000010	0.013025	0.033069	0.000010	0.000010	0.013025	0.033069	0.000010	0.013025	0.033069	0.013025	0.033069	0.039796
P16989	0.010711	0.110200	0.081588	0.114724	0.236345	0.119280	0.084471	0.117764	0.244785	0.088614	0.122502	0.258674	0.091388	0.235957	0.258827
P17010	0.001212	0.015875	0.014649	0.040801	0.034807	0.014650	0.013424	0.042059	0.033553	0.010950	0.042044	0.034720	0.043230	0.025946	0.064218
P17022	0.063576	0.307773	0.195812	0.268576	0.616444	0.295641	0.185853	0.261987	0.627016	0.271760	0.376023	0.658544	0.307408	0.603078	0.713512
P17026	0.008936	0.117475	0.089660	0.150288	0.289447	0.117638	0.089783	0.150510	0.301502	0.118395	0.192187	0.323622	0.197521	0.298588	0.328429
P17027	0.024147	0.166577	0.126299	0.281063	0.807438	0.163731	0.125805	0.284404	0.890249	0.126993	0.295408	0.812004	0.254740	0.879274	0.971538
P17028	0.005538	0.022389	0.025116	0.051249	0.382570	0.025083	0.025054	0.053878	0.382400	0.011094	0.030918	0.375518	0.042416	0.372039	0.388614
P17029	0.025170	0.094545	0.066026	0.101343	0.235730	0.091217	0.067997	0.097904	0.237698	0.066095	0.099741	0.240718	0.077605	0.229678	0.248342
P17036	0.015757	0.128867	0.059633	0.162864	0.181858	0.128821	0.057609	0.159922	0.175949	0.112129	0.201443	0.245998	0.146741	0.184274	0.241768
P17040	0.036714	0.205529	0.153868	0.270697	0.404813	0.206364	0.148816	0.277496	0.411622	0.192796	0.331166	0.453837	0.302900	0.416999	0.514838
P17041	0.000010	0.022498	0.003728	0.049857	0.807141	0.022498	0.003728	0.049857	0.807141	0.018710	0.045928	0.803223	0.045928	0.804517	0.810211
P17050	0.022803	0.156684	0.213707	0.204110	0.365616	0.168904	0.215334	0.204976	0.372932	0.176734	0.205152	0.349255	0.254855	0.417080	0.382375
P17081	0.000010	0.000010	0.000010	0.005034	0.005034	0.000010	0.000010	0.005034	0.005034	0.000010	0.005034	0.005034	0.005034	0.005034	0.000010
P17096	0.000010	0.189521	0.000010	0.028412	0.345878	0.189521	0.000010	0.028412	0.345878	0.189521	0.233973	0.607846	0.028412	0.345878	0.336368
P17152	0.000010	0.026995	0.005334	0.021840	0.032238	0.026995	0.005334	0.021840	0.342756	0.021544	0.032906	0.059949	0.027353	0.037683	0.055119
P17174	0.022092	0.086060	0.077718	0.095707	0.191402	0.089077	0.088352	0.098232	0.191447	0.050140	0.099405	0.165741	0.090904	0.165008	0.170312
P17181	0.091761	0.395161	0.416343	0.759053	0.716797	0.435451	0.439727	0.780728	0.745114	0.450684	0.792560	0.716761	0.805039	0.751251	1.094697
P17252	0.003064	0.024843	0.009219	0.018530	0.027919	0.021703	0.006137	0.015417	0.024777	0.015463	0.034338	0.043898	0.018535	0.027926	0.031131
P17275	0.008888	0.036059	0.029894	0.064187	0.212743	0.032975	0.026841	0.060983	0.205210	0.026839	0.048635	0.205752	0.051594	0.206260	0.213200
P17301	0.019102	0.141063	0.135978	0.190479	0.257075	0.137650	0.133370	0.188592	0.255244	0.131940	0.227845	0.263523	0.219632	0.265180	0.308467
P17302	0.005258	0.023911	0.018524	0.026537	0.018531	0.026582	0.021181	0.023868	0.021190	0.010578	0.021296	0.007928	0.018524	0.007913	0.021199
P17342	0.015024	0.060633	0.060697	0.088860	0.147434	0.058618	0.064666	0.086619	0.151492	0.059951	0.091235	0.154742	0.083815	0.151902	0.166924
P17405	0.029014	0.160530	0.161680	0.201844	0.327460	0.158342	0.155749	0.208125	0.322633	0.138548	0.213059	0.345043	0.241912	0.356690	0.364054
P17480	0.000010	0.025355	0.010531	0.022472	0.057071	0.025355	0.010531	0.022472	0.057071	0.025342	0.036176	0.069019	0.027799	0.058415	0.061423
P17482	0.004075	0.004075	0.008178	0.032908	0.089483	0.000010	0.004088	0.028791	0.085209	0.004088	0.028791	0.085209	0.024654	0.089793	0.111670
P17483	0.008376	0.029440	0.016789	0.042547	0.156863	0.029447	0.016793	0.042557	0.156530	0.020936	0.042432	0.161346	0.038188	0.161729	0.167116
P17509	0.018634	0.018656	0.028091	0.023351	0.141996	0.018670	0.018706	0.023369	0.136595	0.009315	0.013988	0.136572	0.023402	0.136857	0.146777
P17540	0.007277	0.034431	0.034642	0.042153	0.092621	0.034707	0.034921	0.042486	0.092600	0.031866	0.026944	0.086353	0.039246	0.067900	0.086418
P17542	0.031263	0.044487	0.044886	0.067457	0.246653	0.038023	0.041860	0.051297	0.230253	0.038298	0.071717	0.255788	0.082333	0.249544	0.233965
P17568	0.105461	0.151102	0.238953	0.216776	0.320328	0.235470	0.300643	0.286000	0.413078	0.133583	0.185514	0.299515	0.222340	0.389330	0.331402
P17600	0.005700	0.033192	0.041608	0.037948	0.272871	0.034526	0.035302	0.039316	0.272297	0.044376	0.044879	0.293019	0.052643	0.280111	0.276546
P17643	0.026792	0.119175	0.112412	0.162904	0.192160	0.100470	0.102016	0.150131	0.183267	0.090646	0.163431	0.203292	0.157111	0.204652	0.243915
