A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A096MTG0_baboon A0A8I3NR93_dog E1BAU0_cow F7F4H1_opossum P17542_human P22091_mouse
A0A0A0MU83_baboon A0A8I3PCB5_dog F7G4X2_opossum P17568_human Q02368_cow Q9CR61_mouse
A0A096NAC9_baboon A0A8I3QAQ3_dog F1MCX7_cow F7BE62_opossum O88935_mouse P17600_human
A0A096P1J2_baboon A0A8I3N097_dog F1MBG9_cow F7FUN5_opossum P07147_mouse P17643_human
A0A8I3NF92_dog A0A8I5NH07_baboon F6ZEJ6_opossum O08529_mouse P17655_human Q27971_cow
A0A8I5N8B7_baboon F7AL46_opossum G3N1T8_cow I0BWQ7_dog P17658_human Q61923_mouse
A0A8I5NLY7_baboon F7BWE5_opossum O62654_cow P17661_human P31001_mouse Q5XFN2_dog
A0A096NNQ1_baboon A0A3Q1NLC4_cow A0A8I3Q8Y2_dog F7A5L7_opossum P17676_human P28033_mouse
A0A096N9W5_baboon A0A8I3NM86_dog F7BTK7_opossum P06836_cow P06837_mouse P17677_human
A0A2I3N4N1_baboon A0A5F8H0Y7_opossum A0A8I3MZ64_dog A5D982_cow P17706_human Q06180_mouse
A0A096NF29_baboon A0A8I3NNS0_dog F7EKD3_opossum P0DMN7_mouse P17707_human P50243_cow
A0A096NSH7_baboon A0A8I3MYF6_dog F7CW54_opossum P17735_human Q58CZ9_cow Q8QZR1_mouse
A0A2I3N4X9_baboon B6EY10_dog F1N5Q8_cow F7DGX6_opossum P17532_mouse P17752_human
A0A2I3LWQ4_baboon A0A5F8GZ30_opossum A0A8I3NJ59_dog F1MUN1_cow P17787_human Q9ERK7_mouse
A0A096MT53_baboon A0A8I3N7E1_dog A0JNE9_cow F6WFF7_opossum P17812_human P70698_mouse
A0A8I5R8N8_baboon E1BJ42_cow F7CZ80_opossum J9P7F0_dog P17813_human Q63961_mouse
A0A096NTV8_baboon A0A3Q1M155_cow A0A8I3PSN4_dog F7ECU0_opossum P17844_human Q61656_mouse
A0A096NIG0_baboon A0A5F8GF14_opossum A0A8I3PBD8_dog A1A4J1_cow P12382_mouse P17858_human
A0A2I3LY81_baboon A0A8I3QXH5_dog F7CCV4_opossum O35426_mouse P17861_human Q3SZZ2_cow
A0A096MSJ9_baboon A0A5F8GF89_opossum A0A8I3MZE8_dog E1BI28_cow P17900_human Q60648_mouse
A0A096NV76_baboon A0A8I3NWF7_dog A6QLZ0_cow F7FSR7_opossum P16110_mouse P17931_human
A0A096MWE4_baboon A0A8I3N8K1_dog F7EV06_opossum P17936_human P20959_cow P47878_mouse
A0A096N548_baboon A0A3Q1NJE0_cow A0A5F8G6A3_opossum A0A8I3PHF3_dog P17433_mouse P17947_human
A0A096N1J5_baboon A0A8I3PN58_dog F1MDD9_cow F7EY52_opossum P17948_human P35969_mouse
A0A096N8F7_baboon A0A8I3PF55_dog F1MWE0_cow F6VQ52_opossum O88685_mouse P17980_human
A0A096MSH4_baboon A0A5F8GYX2_opossum A0A8I3MR56_dog G5E531_cow P11983_mouse P17987_human
A0A096NNQ0_baboon A0A8I3PXV2_dog A6QQN2_cow F7FKW0_opossum P18031_human P35821_mouse
A0A096P2L8_baboon A0A5F8GDK3_opossum A0A8I3S2E8_dog F1MFA8_cow P18054_human P39655_mouse
A0A8I3PX33_dog A0A8I5NKC5_baboon F6V0T8_opossum P13384_cow P18065_human P47877_mouse
A0A2I3N4Q5_baboon A0A8I3MXM9_dog A6QLJ0_cow F7DF10_opossum O08811_mouse P18074_human
A0A096NNJ3_baboon A0A8I3Q4D7_dog F1MLT0_cow F7A479_opossum P18075_human P23359_mouse
A0A2I3MH43_baboon A0A8I3QGT5_dog F6QUC7_opossum O55142_mouse P18077_human Q56JY1_cow
A0A096MY76_baboon A0A8I3QCJ7_dog F6PPW0_opossum O70309_mouse P18084_human Q8SQB9_cow
A0A096NQ76_baboon A0A5F8HGP4_opossum A0A8I3PMI1_dog P18085_human P61750_mouse Q3SZF2_cow
A0A096MX90_baboon A0A8I3NDU8_dog F7G5U3_opossum G3X6S2_cow P18089_human P30545_mouse
A0A2I3LF48_baboon A0A5F8HGN0_opossum A0A8I3PHY4_dog P08046_mouse P18146_human Q17QJ4_cow
A0A096P4K3_baboon A0A3Q1MN97_cow A0A5F8GKD3_opossum A0A8I3N7S1_dog P18206_human Q64727_mouse
A0A096NCN7_baboon A0A8I3PTX9_dog A5PJS2_cow F6QCA4_opossum P18405_human Q68FF9_mouse
A0A096NXF9_baboon A0A8I3S716_dog F1MNN7_cow F6TG00_opossum P18428_human Q61805_mouse
A0A3Q1MK12_cow A0A5F8GHQ2_opossum A0A8I3RYW5_dog A0A8I5NMD1_baboon P18052_mouse P18433_human
A0A2I3LFQ8_baboon A0A5F8HHX5_opossum A0A8I3MDZ2_dog P18507_human P22300_cow P22723_mouse
A0A5F8GZV4_opossum A0A8I3RQL5_dog A0A8I5N4U2_baboon A4FV02_cow O70176_mouse P18509_human
A0A2I3MWA6_baboon F6TEW6_opossum O77482_cow P18510_human P25085_mouse Q9BEH0_dog
A0A096NTH2_baboon F7CXV2_opossum P04972_cow P09174_mouse P18545_human P54827_dog
A0A096MN88_baboon A0A8I3PZR7_dog F6ZCH3_opossum P18564_human Q8SQB8_cow Q9Z0T9_mouse
A0A096NJC7_baboon A0A3Q1LYV1_cow A0A8I3Q0E5_dog F6YM38_opossum P18583_human Q9QX47_mouse
A0A2I3LGX5_baboon A0A8I3NAG9_dog F7GBR1_opossum P18621_human Q3T025_cow Q9CPR4_mouse
A0A096NWG5_baboon A0A5F8HFG9_opossum A0A8I3SB08_dog E1B7C1_cow P18627_human Q61790_mouse
A0A096P603_baboon A0A8I3SC19_dog F6UBE9_opossum P18669_human Q3SZ62_cow Q9DBJ1_mouse
A0A2I3N7U2_baboon A0A5F8HAL2_opossum A0A8I3N902_dog A7Z018_cow P18754_human Q8VE37_mouse
A0A096NA11_baboon A0A3Q1LQ48_cow A0A8I3NHV8_dog F7EG22_opossum P18825_human Q01337_mouse
A0A2I3NCD0_baboon A0A8I3NUJ6_dog F7BRQ2_opossum P18846_human P81269_mouse Q08DA8_cow
A0A096NFL9_baboon A0A5F8HAS1_opossum A0A8I3MTW2_dog P18847_human Q2KII1_cow Q60765_mouse
A0A096NK64_baboon A0A8I3PFQ3_dog F1MXZ1_cow F7CPU4_opossum P18848_human Q06507_mouse
A0A096NYU1_baboon A0A5F8GDC0_opossum A0A8I3PUF6_dog F1MDD8_cow F6VAN0_mouse P18850_human
A0A8I3NL18_dog A0A8I5R105_baboon F6QZT0_opossum P02721_cow P18859_human P97450_mouse
A0A096N581_baboon A0A8I3MKY9_dog F6SHA5_opossum P10731_cow P19021_human P97467_mouse
A0A2I3MKR0_baboon A0A5F8G9M3_opossum A0A5H1ZRH6_cow A0A8I3NAG2_dog P15116_mouse P19022_human
A0A8I3PI03_dog A0A8I5NAA8_baboon F1MP86_cow F7BZT7_opossum P19075_human Q8R3G9_mouse
A0A096NRB0_baboon A0A3Q1MM27_cow A0A8I3PN32_dog F6TUG0_opossum O70443_mouse P19086_human
A0A096MX20_baboon A0A8I3N302_dog F6W0P2_opossum P04696_cow P19087_human P50149_mouse
A0A2I3MBM0_baboon A0A8I3PM83_dog F7CVL5_opossum P19113_human P23738_mouse Q5EA83_cow
A0A096NXD8_baboon A0A8I3SCI7_dog F1MYF9_cow F6TAH0_opossum P19174_human Q62077_mouse
A0A0A0MVH4_baboon A0A8I3P4L4_dog F1MEQ7_cow F7BUV5_opossum P14753_mouse P19235_human
A0A096N3P9_baboon A0A8I3P5G4_dog F6QNB4_opossum G3MYN5_cow P19237_human Q9WUZ5_mouse
A0A2I3LIA6_baboon A7MBB0_cow F7CRW5_opossum P19320_human P29533_mouse Q28260_dog
A0A096NQS3_baboon A0A8I3PNX7_dog E1B8K6_cow F7BWB5_opossum P09405_mouse P19338_human
A0A3S5ZPF0_cow A0A5F8GG95_opossum A0A8I3MPC0_dog A0A8I5P3E1_baboon P17710_mouse P19367_human
A0A096NIT0_baboon A0A8I3RSP9_dog F7CLY1_opossum P19387_human P97760_mouse Q3T0Q3_cow
A0A096N491_baboon A0A5F8HE98_opossum A0A8I3MMD4_dog P19397_human Q58DM3_cow Q61451_mouse
A0A2I3LYU0_baboon A0A5F8GLE3_opossum A0A8I3MKY6_dog P04394_cow P19404_human Q9D6J6_mouse
A0A096ND19_baboon A0A5F8GXJ0_opossum A0A8I3Q408_dog F1MT98_cow P19419_human P41969_mouse
A0A5F8G9C7_opossum A0A8I5MZ09_baboon P08057_cow P19429_human P48787_mouse Q8MKD5_dog
A0A096MSY4_baboon A0A3Q1MQ33_cow A0A8I3Q3L1_dog F7G4G9_opossum P19438_human P25118_mouse
A0A096NW57_baboon A0A8I3PLS6_dog G3N2D8_cow H9H7I2_opossum P19440_human Q60928_mouse
A0A2I3MNP8_baboon A0A8I3PKW9_dog F7FQP6_opossum P19447_human P49135_mouse Q1RMT1_cow
A0A096NH56_baboon A0JNE6_cow F7CM70_opossum P19525_human Q03963_mouse Q2KM13_dog
A0A096MME4_baboon A0A5F8GMJ1_opossum A0A8I3S7X7_dog P19532_human Q05B92_cow Q64092_mouse
A0A2I3MUG1_baboon A0A3Q1MKE3_cow A0A8I3PWW1_dog F6QTA6_opossum P19544_human P22561_mouse
A0A8I3RZT2_dog A0A8I5NV28_baboon F1MXQ1_cow F7FKY3_opossum P09066_mouse P19622_human
A0A096NPX7_baboon A0A8I3RSK2_dog E1BM12_cow F6SQW8_opossum P19623_human Q64674_mouse
A0A5F8G710_opossum A0A8I3MMP4_dog A0A8I5NU98_baboon F1MJ55_cow O54833_mouse P19784_human
A0A096NWJ1_baboon A0A8I3RWY2_dog F1MX52_cow F7AZG5_opossum P19793_human P28700_mouse
A0A2I3MW86_baboon A0A8I3RRH5_dog A5D7R6_cow F7CI17_opossum P19823_human Q61703_mouse
A0A096MX78_baboon A0A5F8H8I8_opossum A0A8I3Q1V1_dog P19827_human Q0VCM5_cow Q61702_mouse
A0A096NDA9_baboon F1MKW9_cow F7DLB9_opossum P19838_human P25799_mouse Q6F3J0_dog
A0A2I3NHU8_baboon A0A3Q1MTW8_cow A7E3N1_dog F6XAM8_opossum O70145_mouse P19878_human
A0A096MVD6_baboon A0A8I3MAL3_dog F6RWA4_opossum P19883_human P47931_mouse P50291_cow
A0A2I3NF68_baboon A0A5F8G500_opossum A0A8I3P5E8_dog F1N7J2_cow G5E829_mouse P20020_human
A0A3Q1LQI5_cow A0A8I3PME6_dog A0A8I5N9G8_baboon F7EJH2_opossum P20042_human Q99L45_mouse
A0A096NJJ9_baboon A0A8I3PAV5_dog F6QKL7_opossum O88968_mouse P20062_human Q9XSC9_cow
A0A2I3LQW3_baboon A0A8I3MVW5_dog F6TF12_opossum P20072_cow P20073_human Q07076_mouse
A8MN26_baboon F1MWS3_cow F7GKP1_opossum P20142_human Q8SQ41_dog Q9D7R7_mouse
A0A096NGQ1_baboon A0A8I3PUG8_dog F7CFV3_opossum P20226_human P29037_mouse Q2HJ52_cow
A0A096NPY9_baboon A0A8I3PCC0_dog F7GJQ9_opossum P20248_human P30274_cow P51943_mouse
A0A3Q1LLA7_cow A0A8I3N8J2_dog A0A8I5R8H2_baboon F7F1R9_opossum P20264_human P31361_mouse
A0A8I3RV91_dog A0A8I5N8P2_baboon F6WMF3_opossum P20265_human P31360_mouse Q2KIB8_cow
A0A2I3MS69_baboon A0A3Q1NI55_cow A0A8I3MUW4_dog F6W995_opossum P20273_human P35329_mouse
A0A2I3MAR5_baboon A0A5F8HF00_opossum A0A8I3MCA7_dog P20290_human Q56JY8_cow Q64152_mouse
A0A096MLB3_baboon A0A8I3PDD9_dog F7DAM2_opossum P20292_human P30355_mouse Q148F2_cow
A0A8I3N190_dog A0A8I5MUF4_baboon F6XBA3_opossum P20309_human P41984_cow Q9ERZ3_mouse
A0A0A0MWG2_baboon A0A8I3PDP4_dog F6TZ81_opossum P11023_cow P20336_human P63011_mouse
A0A096MSR9_baboon A0A5F8H3C0_opossum A0A8I3PG06_dog P10948_cow P20337_human Q9CZT8_mouse
A0A096MWY2_baboon A0A5F8H5J1_opossum A0A8I3MGJ1_dog P20338_human P56371_mouse Q2TBH7_cow
A0A8I5NIG8_baboon F7E6H4_opossum P18066_dog P20339_human Q0IIG7_cow Q9CQD1_mouse
A0A2I3MR52_baboon A0A3Q1MBS7_cow A0A5F8HCT1_opossum A0A8I3N6R6_dog P20340_human P35279_mouse
A0A096NWZ1_baboon A0A8I3S2W1_dog H9H6V1_opossum P01289_cow P20366_human P41539_mouse
A0A096MNN1_baboon A1Z2Z3_cow F7B8S0_opossum P20382_human P56942_mouse Q5XXR2_dog
A0A2I3MXD6_baboon A0A8I3RVG0_dog F7BNH8_opossum P20393_human Q08E02_cow Q3UV55_mouse
A0A096MUB8_baboon A0A5F8HDP8_opossum A0A8I3QB92_dog A6QM11_cow P20396_human Q62361_mouse
A0A8I3N7Z7_dog A0A8I5P2D3_baboon F6SSG1_opossum P20472_human P32848_mouse Q0VCG3_cow
A0A3Q1LUI6_cow A0A8I3PEB9_dog A0A8I5NEH9_baboon F7CJG1_opossum P13705_mouse P20585_human
A0A096P169_baboon A0A8I3N816_dog F6XTY3_opossum P20594_human P46197_cow Q6VVW5_mouse
A0A096NVZ7_baboon A0A8I3PKH4_dog F7F3A6_opossum G5E589_cow O09061_mouse P20618_human
A0A8I3Q566_dog A0A8I5MVW9_baboon F7B8F9_opossum P11456_cow P20645_human P24668_mouse
A0A2I3MYM2_baboon F1MXW4_cow F1PRH6_dog F6SUY0_opossum P20648_human Q64436_mouse
A0A5F8HHT3_opossum A0A8I3S3K8_dog B0VYX8_baboon P00426_cow P12787_mouse P20674_human
A0A5F8H746_opossum A0A8I3NS51_dog A0A8I5NHS3_baboon P20701_human P24063_mouse P61625_cow
A0A3Q1LZT3_cow A0A8I3NG24_dog A0A8I5NBG0_baboon F7B8W6_opossum P20702_human Q9QXH4_mouse
A0A096MU58_baboon A0A3Q1LX98_cow A0A5F8H514_opossum A0A8I3NAR1_dog O88533_mouse P20711_human
A0A096N3X8_baboon A0A452DJA1_cow A0A8I3N8Z2_dog F6UA74_opossum P09021_mouse P20719_human
A0A8I3NG84_dog A0A8I5NPQ1_baboon E1BCE6_cow F6R061_opossum P20749_human Q9Z2F6_mouse
A0A096P236_baboon A0A8I3PS70_dog K7E025_opossum P19879_cow P20774_human Q62000_mouse
A0A096MUL5_baboon A0A5F8HLM7_opossum A0A8I3QXQ5_dog P20181_mouse P20783_human Q08DT3_cow
A0A2I3MUD9_baboon A0A5F8G447_opossum A0A8I3P0J1_dog E1BDG4_cow P20794_human Q04859_mouse
A0A096MSL1_baboon K7E5U1_opossum P12064_dog P20800_human P22389_mouse Q867A9_cow
A0A2I3M6C0_baboon A0A8I3S3W1_dog A6QP82_cow F6TMZ0_opossum P20807_human Q64691_mouse
A0A096MLW8_baboon A0A3Q1MZC5_cow A0A5F8GN44_opossum A0A8I3MM49_dog P20810_human P51125_mouse
A0A096N996_baboon A0A8I3NS68_dog F6UJM9_opossum P20827_human P52793_mouse Q3ZC64_cow
A0A2I3MT70_baboon A0A5F8GQ17_opossum A0A8I3PMK1_dog A0JNA3_cow P20839_human P50096_mouse
A0A2I3LR04_baboon A0A3Q1MC60_cow A0A571BF58_mouse A0A8I3N6H5_dog F7GIQ1_opossum P20929_human
A0A096NQL2_baboon A0A8I3PAV8_dog F1MGY9_cow F6YVD7_opossum P20933_human Q64191_mouse
A0A2I3MHG5_baboon A0A5F8GG86_opossum A0A8I3PDZ1_dog E9PYG6_mouse P09851_cow P20936_human
A0A096NG33_baboon F1MSE1_cow F6YE86_opossum O77560_dog P20941_human Q9QW08_mouse
A0A8I3MV98_dog A0A8I5NUA6_baboon F7G531_opossum P20963_human P24161_mouse Q0VCU4_cow
A0A096MPP3_baboon A0A5F8GCI9_opossum A0A8I3NWZ4_dog F1N5K1_cow P21127_human P24788_mouse
A0A096N9C5_baboon A0A452DJC8_cow A0A8I3PWL3_dog H9H6B8_opossum P21128_human Q3V188_mouse
A0A5F8G6T8_opossum A0A8I5NLH4_baboon O09198_mouse P21145_human Q28296_dog Q3ZBY0_cow
A0A2I3MA72_baboon A0A8I3N6G8_dog F6VS98_opossum P21246_human P21782_cow P63089_mouse
A0A096N2L3_baboon A0A5F8GFW5_opossum A0A8I3MJB3_dog P21266_human P48774_mouse Q2KIV8_cow
A0A096MY74_baboon A0A8I3Q2N9_dog F6RX69_opossum P21281_human P31408_cow P62814_mouse
A0A096N107_baboon A0A5F8G6J8_opossum A0A8I3N4G9_dog P21282_cow P21283_human Q9Z1G3_mouse
A0A096MSL0_baboon A0A8I3P8T5_dog F6QMP7_opossum P21291_human P97315_mouse Q3MHY1_cow
A0A096MPB6_baboon A0A5F8GAD9_opossum A0A8I3Q4P5_dog F1N169_cow P21333_human Q8BTM8_mouse
A0A096P3P2_baboon A0A5F8HD81_opossum A0A8I3NH81_dog F1MHW1_cow P21359_human Q04690_mouse
A0A096P0Q6_baboon A0A8I3QDD3_dog F6UIG4_opossum P21397_human P21398_cow Q64133_mouse
A0A8I3S0Z7_dog A0A8I5NLS7_baboon F7CLP5_opossum P21399_human P28271_mouse Q0VCU1_cow
A0A8I3NL43_dog A0A8I5NAG1_baboon F6XRS8_opossum O08530_mouse P21453_human Q5E9P3_cow
A0A096NXK3_baboon A0A5F8GP31_opossum A0A8I3PKX0_dog A7MBF1_cow O35423_mouse P21549_human
A0A096MSC6_baboon A0A8I3RVH9_dog F7FJ84_opossum P21579_human P46096_mouse P48018_cow
A0A096NQC6_baboon A0A8I3RUY7_dog E1BKC3_cow F7AJC4_opossum P21580_human Q60769_mouse
A0A5F8GDP1_opossum A0A8I5NSY0_baboon P20826_mouse P21583_human Q06220_dog Q28132_cow
A0A096NQ29_baboon A0A8I3NIC2_dog F6PPX4_opossum P21589_human Q05927_cow Q61503_mouse
A0A2I3MS06_baboon A0A8I3Q633_dog F7BJU3_opossum P21673_human P48026_mouse Q3T0Q0_cow
A0A096N744_baboon A0A3Q1LZX3_cow A0A5F8HKF9_opossum A0A8I3NZH9_dog P21675_human Q80UV9_mouse
A0A096NXS5_baboon A0A8I3NR10_dog F1MFH7_cow F7APP4_opossum P21709_human Q60750_mouse
A0A096MZY6_baboon A0A8I3RQT9_dog F6T0L6_opossum P21728_human Q61616_mouse Q95136_cow
A0A2I3M3B2_baboon A0A8I3MQK6_dog F7CUC2_opossum P21730_human P30993_mouse Q673L2_cow
A0A0A0MV02_baboon A0A8I3NCM2_dog F6W8V3_opossum P21731_human P30987_mouse Q95125_cow
A0A8I3ML73_dog A0A8I5MUW0_baboon A6H6X7_cow K7DZ89_opossum P10761_mouse P21754_human
A0A096NFA9_baboon A0A5F8GUH3_opossum A0A8I3NVT5_dog P21757_human P21758_cow P30204_mouse
A0A096NM19_baboon A0A3Q1M3Q3_cow A0A5F8HJ88_opossum P21781_human P36363_mouse P79150_dog
A0A096NAT2_baboon A0A8I3NLR0_dog F6UN69_opossum P21796_human P45879_cow Q60932_mouse
A0A2I3LY86_baboon A0A3Q1LRU7_cow A0A8I3P6D2_dog F7DHF8_opossum P21802_human P21803_mouse
A0A096NDB1_baboon A0A5F8GNH1_opossum A0A8I3NNX0_dog P21815_human Q28862_cow Q61711_mouse
A0A2I3M2S6_baboon A0A5F8GJ31_opossum A0A8I3N8M4_dog E1BPB4_cow P21854_human P21855_mouse
A0A096N4L9_baboon A0A5F8GP87_opossum A0A8I3MRL6_dog A6QR62_cow P21860_human Q61526_mouse
A0A096MXT4_baboon A0A3Q1LZ07_cow A0A8I3MX02_dog F6YGR0_opossum P21912_human Q9CQA3_mouse
A0A8I3MUP1_dog A0A8I5NJJ5_baboon F7APR5_opossum G3X8D2_cow P21918_human Q8BLD9_mouse
A0A8I3Q7Y3_dog A0A8I5NNM9_baboon F7GEM3_opossum P21926_human P30932_cow P40240_mouse
A0A096N497_baboon A0A8I3N600_dog E1BMV3_cow F6XZF3_opossum P21941_human P51942_mouse
A0A096N263_baboon A0A8I3RWV7_dog F6XV06_opossum P21839_cow P21953_human Q6P3A8_mouse
A0A096NUJ8_baboon A0A8I3PXX9_dog A7MBI7_cow H9H7D7_opossum O88587_mouse P21964_human
A0A096NXG3_baboon A0A140T892_cow A0A8I3PZ15_dog F6TFD4_opossum P21980_human P21981_mouse
A0A096MPZ0_baboon A0A8I3MLJ0_dog E1B7K3_cow F6UCX2_opossum P16390_mouse P22001_human
A0A2I3ML30_baboon A0A8I3RYW2_dog E1BGS3_cow F7AD87_opossum P22003_human P49003_mouse
A0A8I3P2W1_dog A0A8I5NGB3_baboon F1MKS4_cow F6UAT4_opossum P20722_mouse P22004_human
A0A2I3LKC4_baboon A0A8I3NEF1_dog F7DW04_opossum P16332_mouse P22033_human Q9GK13_cow
A0A096NE56_baboon A0A8I3NS93_dog E1BPW1_cow F7G832_opossum P22059_human Q3B7Z2_mouse
A0A096NW19_baboon A0A8I3P8Y8_dog F7FVJ3_opossum G3MZZ6_cow P22061_human P23506_mouse
A0A8I3S1H8_dog A0A8I5N7T3_baboon F1MDG4_cow F6ZTC1_opossum P22083_human Q11127_mouse
A0A0A0MVK6_baboon A0A8I3MM38_dog F1MM59_cow F6QP22_opossum P22087_human P35550_mouse
A0A096NE33_baboon A0A8I3PRU8_dog F6ZAW3_opossum P22102_human Q59A32_cow Q64737_mouse
A0A096NFR1_baboon A0A8I3NT32_dog E1BGT1_cow F7EGB5_opossum P10287_mouse P22223_human
A0A096N8T6_baboon A0A8I3NGV4_dog F7DKD6_opossum P22234_human Q2HJ26_cow Q9DCL9_mouse
A0A8I5NT41_baboon F6UHB0_opossum P18893_mouse P22301_human P43480_cow P48411_dog
A0A2I3M3A8_baboon A0A8I3MIG7_dog F7C2P0_opossum P21836_mouse P22303_human P23795_cow
A0A8I3PPC6_dog A0A8I5NVC8_baboon F1N2D5_cow F7DJA1_opossum P22304_human Q08890_mouse
A0A096NWA7_baboon A0A8I3S339_dog F1MV74_cow F6XNE9_opossum P22307_human P32020_mouse
A0A096N6N8_baboon A0A8I3Q8F0_dog A3KMV5_cow F7C1J2_opossum P22314_human Q02053_mouse
A0A096P4M5_baboon A0A8I3NVY9_dog F6PJ02_opossum P22392_human Q01768_mouse Q3T0Q4_cow
A0A8I3RQK2_dog A9X179_baboon F1MNS5_cow F7BSJ2_opossum P06802_mouse P22413_human
A0A096N9M5_baboon A0A8I3S7D5_dog F7D0G6_opossum P22415_human Q61069_mouse Q6XBT4_cow
A0A096NAF9_baboon A0A8I3NCC1_dog F1MN51_cow F7C211_opossum P22455_human Q03142_mouse
A0A096N9K0_baboon A0A8I3SCN1_dog F1MTJ1_cow F7EBU3_opossum P22460_human Q61762_mouse
A0A8I3PS37_dog A0A8I5NSA6_baboon F6SIR7_opossum P11242_cow P22466_human P47212_mouse
A0A8I3QB56_dog A0A8I5NJL5_baboon F7G8E6_opossum P08680_mouse P22557_human Q3ZC31_cow
A0A2I3MDD3_baboon A0A8I3P5U4_dog F6RGD5_opossum P22570_human Q148K8_cow Q61578_mouse
A0A2I3LS46_baboon A0A3Q1MPT9_cow A0A5F8GLT3_opossum A0A8I3NFU5_dog P22607_human Q61851_mouse
A0A2I3M8I3_baboon A0A8I3NCE9_dog F6TBC0_opossum O88569_mouse P22626_human Q2HJ60_cow
A0A2I3MNT5_baboon A0A5F8GSR4_opossum A0A8I3PY69_dog E1BP11_cow P22670_human P48377_mouse
A0A096MQ43_baboon A0A8I3QB07_dog F6WAD0_opossum G3MXI9_cow P0C242_mouse P22674_human
A0A2I3N0D7_baboon A0A8I3N067_dog F1MJW8_cow F7GCI5_opossum P22676_human Q08331_mouse
A0A096MUU1_baboon A0A8I3PVJ4_dog E1BM29_cow F7CUJ1_opossum P22680_human Q64505_mouse
A0A096MW73_baboon A0A3Q1LN00_cow A0A8I3MBU4_dog F7ECX4_opossum P22681_human P22682_mouse
A0A096P5H2_baboon A0A8I3NA54_dog F7ABV3_opossum P22692_human P47879_mouse Q05716_cow
A0A096NHA5_baboon A0A5F8G6X6_opossum A0A8I3MM40_dog P22695_human P23004_cow Q9DB77_mouse
A0A096N791_baboon A0A8I3QH62_dog F7GB00_opossum P22732_human P58353_cow Q9WV38_mouse
A0A096NXA7_baboon A0A8I3MV56_dog F1MBB7_cow F6WDZ6_opossum P22735_human Q9JLF6_mouse
A0A096P503_baboon A0A8I3S6P7_dog F6Y4R2_opossum P22748_human Q64444_mouse Q95323_cow
A0A5F8GT56_opossum A0A8I3PXU4_dog A0A8I5P084_baboon G3X6X4_cow P22760_human Q99PG0_mouse
A0A8I3MJI9_dog A0A8I5NBQ7_baboon F7AQG5_opossum P22315_mouse P22600_cow P22830_human
A0A096MZQ5_baboon A0A8I3MUW2_dog F7FX19_opossum P22888_human P30730_mouse Q28005_cow
A0A8I3MXC2_dog A0A8I5MXI6_baboon F6WLV8_opossum G3N0J0_cow O70138_mouse P22894_human
A0A2I3N1H6_baboon A0A8I3RXN0_dog F1MWM8_cow F6Y2F6_opossum P22897_human Q61830_mouse
A0A096NCK3_baboon A2IBY7_dog F6ZK55_opossum O35486_mouse P06504_cow P22914_human
A0A096P135_baboon A0A8I3NWC3_dog F6TZJ8_opossum P23025_human Q2TBG4_cow Q64267_mouse
A0A096NWG9_baboon A0A8I3PM94_dog F1MLX6_cow F6R4B7_opossum P23109_human Q3V1D3_mouse
A0A096NKR2_baboon A0A3Q1MJB2_cow A0A8I3NH97_dog F7FCJ1_opossum P23142_human Q08879_mouse
A0A2I3LGQ0_baboon A0A8I3Q821_dog F6SVE5_opossum P10711_mouse P23193_human Q29RL9_cow
A0A8I5N4M0_baboon F6T1S9_opossum O62664_cow P22437_mouse P23219_human Q8HZR1_dog
A0A8I3QH94_dog A0A8I5R151_baboon E1BFQ6_cow F7GL63_opossum P23229_human Q61739_mouse
A0A096N317_baboon A0A5F8GPT0_opossum A0A8I3NK76_dog E1BQ37_cow P23246_human Q8VIJ6_mouse
A0A096P5U1_baboon A0A5F8GWI0_opossum A0A8I3RUK4_dog P23258_human P83887_mouse Q0VCD2_cow
A0A096P038_baboon A0A8I3NZA2_dog F1N2Q4_cow F6YQX4_opossum P23276_human Q9EQF2_mouse
A0A8I3PCB7_dog A0A8I5R512_baboon F7BZB1_opossum P23284_human P24369_mouse P80311_cow
A0A096NYU6_baboon A0A8I3MR24_dog F6VYT4_opossum P02639_cow P23297_human P56565_mouse
A0A096N7L1_baboon A0A8I3S906_dog A2VE88_cow F7FF48_opossum P23352_human P62810_mouse
A0A2I3MJB3_baboon A0A8I3MHQ2_dog F7BC34_opossum P23368_human Q08DM3_cow Q99KE1_mouse
A0A096P1J8_baboon A0A8I3PNR0_dog E1BJQ1_cow F6V2Z8_opossum P23378_human Q91W43_mouse
A0A096NJR9_baboon A0A8I3MMH0_dog F7ACJ5_opossum P17248_cow P23381_human P32921_mouse
A0A096MMB0_baboon E2RH47_dog F6RG35_opossum P23396_human P62908_mouse Q3T169_cow
A0A5F8GZT0_opossum A0A8I3N246_dog A0A8I5NKC1_baboon P15375_mouse P23409_human Q7YS80_cow
A0A2I3MZA7_baboon A0A8I3MZA4_dog F7G2F3_opossum P23415_human P57695_cow Q64018_mouse
A0A096NBC6_baboon A0A8I3Q2Z5_dog F6SLW8_opossum G5E5K0_cow P23416_human Q7TNC8_mouse
A0A2I3M0D9_baboon A0A8I3MS89_dog F7CS84_opossum P23435_human P86437_cow Q9R171_mouse
A0A2I3LXQ2_baboon A0A8I3PP41_dog F7BTW0_opossum P23443_human Q6TJY3_cow Q8BSK8_mouse
