UNIPROT_ID	LENGTH	MOL-WEIGHT	Tm_(C)
Q9BXJ9	866	101,272	60.19
Q9BXP5	876	100,666	42.55
Q9BXU9	219	24,837	59.67
Q9BZL1	73	8,547	57.03
Q9GZP4	211	24,178	61.67
Q9GZT3	109	12,349	45.04
Q9GZT8	377	41,968	65.23
Q9H074	479	53,525	50.99
Q9H078	707	78,729	58.58
Q9H0D6	950	108,582	61.91
Q9H2H8	161	18,155	43.71
Q9H2P0	1102	123,563	65.48
Q9H2U1	1008	114,760	62.17
Q9H3K6	86	10,117	41.92
Q9H5Q4	396	45,349	60.85
Q9H773	170	18,681	69.9
Q9H814	394	44,403	48.89
Q9H974	415	46,713	60.48
Q9H9Y6	1135	128,229	63.65
Q9HAV7	217	24,279	47.77
Q9HB71	228	26,210	59.81
Q9NP79	307	33,879	44.82
Q9NP97	96	10,922	59.48
Q9NQ50	206	24,490	69.59
Q9NQP4	134	15,314	49.56
Q9NQR4	276	30,608	51.24
Q9NQS7	918	105,429	60.52
Q9NQW6	1124	124,199	64.31
Q9NR12	457	49,845	47.3
Q9NR30	783	87,344	60.58
Q9NSD9	589	66,116	57.93
Q9NSE4	1012	113,792	54.39
Q9NTI5	1447	164,667	65.52
Q9NTZ6	932	97,395	61.77
Q9NU22	5596	632,820	59.93
Q9NUJ1	306	33,933	58.62
Q9NVF7	368	41,149	62.48
Q9NVX2	485	53,320	59.91
Q9NX18	166	19,599	43.51
Q9NYJ1	87	10,134	58.04
Q9NYL9	352	39,595	60.21
Q9NYV4	1490	164,155	60.07
Q9NZ08	941	107,235	59.68
Q9NZ63	289	33,688	61.05
Q9NZI6	479	54,627	59.25
Q9NZL9	334	37,552	58.68
Q9P013	229	26,624	60.83
Q9P0L0	249	27,893	59.1
Q9P258	522	56,085	59.25
Q9P2E9	1410	152,456	41.06
Q9P2I0	782	88,487	60.7
Q9P2R7	463	50,317	47.16
Q9UBB4	475	53,489	51.71
Q9UBL3	628	68,723	45.28
Q9UBQ0	182	20,506	58.77
Q9UEE9	299	33,593	59.77
Q9UHD1	332	37,490	48.08
Q9UHD8	586	65,401	58.77
Q9UHV9	154	16,648	48.4
Q9UHX1	559	59,875	50.75
Q9UIA9	1087	123,907	43.76
Q9UIG0	1483	170,903	60.83
Q9UIJ7	227	25,565	48.65
Q9UK45	103	11,602	60.59
Q9UKX7	468	50,144	42.56
Q9UKY7	258	27,335	61.32
Q9UMS4	504	55,181	49.4
Q9UN86	482	54,121	67.44
Q9UNH7	406	46,649	64.02
Q9UNN5	650	73,954	64.42
Q9UNN8	238	26,671	61.4
Q9UNP9	301	33,431	56.02
Q9UNW1	487	55,051	59.94
Q9UPT8	1303	140,257	59.96
Q9UQ80	394	43,787	44.6
Q9UQE7	1217	141,542	49.23
Q9Y224	244	28,068	58.85
Q9Y281	166	18,737	52.29
Q9Y295	367	40,542	62.22
Q9Y2L1	958	109,003	49.08
Q9Y2T3	454	51,003	60.97
Q9Y2W1	955	108,666	59.14
Q9Y2Z0	365	41,024	61.46
Q9Y333	95	10,835	63.58
Q9Y3A5	250	28,764	60.27
Q9Y3B4	125	14,585	57.59
Q9Y3C8	167	19,458	59.49
Q9Y3F4	350	38,438	50.67
Q9Y3I0	505	55,210	60.09
Q9Y3Y2	248	26,397	61.47
Q9Y490	2541	269,767	55.92
Q9Y4L1	999	111,335	45.9
Q9Y5B9	1047	119,914	58.55
Q9Y5K6	639	71,451	52.69
Q9Y5S9	174	19,889	51.2
Q9Y617	370	40,423	59.34
Q9Y678	874	97,718	51.49
Q9Y680	222	25,794	59.19
Q9Y6A5	838	90,360	58.85
R4GN98	85	9,681	61.48
