cellular_component,biological_process,molecular_functions,mean
"['nucleus', 'nucleoplasm', 'chromosome', 'cytosol', 'organelle']","['mitotic cell cycle', 'DNA replication', 'DNA repair', 'DNA recombination', 'chromosome segregation', 'programmed cell death', 'reproductive process', 'signaling', 'telomere organization', 'protein modification process', 'meiotic nuclear division']","['DNA binding', 'catalytic activity', 'hydrolase activity', 'catalytic activity, acting on DNA', 'ATP-dependent activity']",0.1094366
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']","['cell adhesion', 'wound healing', 'nucleobase-containing small molecule metabolic process']","['catalytic activity', 'GTPase activity', 'hydrolase activity', 'ATP-dependent activity']",0.36789393333333326
['plasma membrane'],"['circulatory system process', 'renal system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'inflammatory response', 'programmed cell death', 'signaling', 'protein modification process', 'anatomical structure development', 'cell motility', 'nervous system process', 'endocrine process']","['molecular transducer activity', 'molecular function regulator activity']",0.19382326666666666
"['nucleus', 'cytosol', 'organelle']","['lipid metabolic process', 'vitamin metabolic process', 'anatomical structure development']",['lipid binding'],0.13532080000000002
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'organelle']",['amino acid metabolic process'],"['catalytic activity', 'transferase activity']",0.182243
"['extracellular region', 'extracellular space', 'nucleus', 'nuclear envelope', 'lysosome', 'vacuole', 'Golgi apparatus', 'plasma membrane', 'cilium', 'organelle']","['signaling', 'protein modification process', 'wound healing']","['catalytic activity', 'GTPase activity', 'hydrolase activity', 'molecular function regulator activity']",0.000924
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']",['signaling'],None,0.034489733333333335
['plasma membrane'],['signaling'],"['catalytic activity', 'GTPase activity', 'hydrolase activity']",0.061434866666666664
"['nucleus', 'mitochondrion', 'organelle']","['carbohydrate metabolic process', 'generation of precursor metabolites and energy']","['catalytic activity', 'oxidoreductase activity']",0.029785466666666666
"['nucleus', 'nucleoplasm', 'chromosome', 'nucleolus', 'cytosol', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.1589866
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.1792229333333334
"['nucleus', 'nucleoplasm', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'anatomical structure development', 'cell motility']","['DNA binding', 'transcription regulator activity']",0.03841713333333333
None,"['immune system process', 'programmed cell death', 'reproductive process', 'signaling', 'anatomical structure development']",None,0.020697866666666665
"['extracellular region', 'extracellular space', 'nucleus', 'endosome', 'Golgi apparatus', 'cytosol', 'cytoskeleton', 'plasma membrane', 'external encapsulating structure', 'extracellular matrix', 'cytoplasmic vesicle', 'organelle']","['immune system process', 'cell adhesion', 'reproductive process', 'signaling', 'cell differentiation', 'extracellular matrix organization', 'cell junction organization', 'anatomical structure development', 'cell motility', 'protein maturation', 'protein localization to plasma membrane']","['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.06774533333333334
"['mitochondrion', 'organelle']",None,"['catalytic activity', 'oxidoreductase activity']",0.16008886666666663
"['extracellular region', 'extracellular space', 'lysosome', 'vacuole', 'Golgi apparatus', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling', 'cilium organization']","['RNA binding', 'molecular function regulator activity']",0.03922913333333333
"['nucleus', 'nuclear envelope', 'nucleoplasm', 'endoplasmic reticulum', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'organelle']","['muscle system process', 'intracellular protein transport', 'nucleocytoplasmic transport', 'signaling', 'cell differentiation', 'anatomical structure development', 'membrane organization']",['cytoskeletal protein binding'],0.4716741333333333
"['plasma membrane', 'cilium', 'organelle']","['signaling', 'anatomical structure development', 'cell motility']",['molecular transducer activity'],0.2099646
"['extracellular region', 'extracellular space', 'mitochondrion', 'organelle']","['muscle system process', 'modified amino acid metabolic process', 'nervous system process']","['catalytic activity', 'transferase activity']",0.05186846666666666
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']","['cell differentiation', 'anatomical structure development', 'transmembrane transport']",['transporter activity'],0.20660946666666663
"['extracellular region', 'extracellular space', 'endoplasmic reticulum', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['cell differentiation', 'extracellular matrix organization', 'anatomical structure development', 'protein maturation']","['RNA binding', 'molecular function regulator activity']",0.06790826666666666
"['nucleus', 'chromosome', 'organelle']","['chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'establishment or maintenance of cell polarity', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.03885413333333333
"['nucleus', 'nucleoplasm', 'cytosol', 'cytoskeleton', 'organelle']","['muscle system process', 'circulatory system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'inflammatory response', 'cytoskeleton organization', 'signaling', 'cell differentiation', 'anatomical structure development', 'membrane organization', 'protein localization to plasma membrane']","['structural molecule activity', 'cytoskeletal protein binding']",0.037135600000000005
"['nucleus', 'endosome', 'cytoskeleton', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['cytoskeleton organization', 'signaling', 'anatomical structure development']",['cytoskeletal protein binding'],0.30719813333333335
"['extracellular region', 'extracellular space', 'cytosol', 'organelle']",['protein folding'],['molecular adaptor activity'],0.18898139999999997
"['mitochondrion', 'peroxisome', 'Golgi apparatus', 'cytosol', 'organelle']","['lipid metabolic process', 'intracellular protein transport', 'autophagy', 'mitochondrion organization', 'peroxisome organization', 'cell differentiation', 'anatomical structure development', 'cell motility', 'nervous system process', 'transmembrane transport', 'membrane organization', 'protein-containing complex assembly']",['molecular carrier activity'],0.05920206666666666
"['nucleus', 'chromosome', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.0366216
"['nucleus', 'chromosome', 'organelle']","['mitotic cell cycle', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'programmed cell death', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility', 'nervous system process']","['DNA binding', 'transcription regulator activity']",0.0761504
"['extracellular region', 'extracellular space', 'endosome', 'Golgi apparatus', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['mitotic cell cycle', 'immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'autophagy', 'cytoskeleton organization', 'programmed cell death', 'vesicle-mediated transport', 'signaling', 'cell differentiation', 'anatomical structure development', 'membrane organization', 'protein-containing complex assembly']","['catalytic activity', 'GTPase activity', 'cytoskeletal protein binding', 'lipid binding', 'hydrolase activity']",0.04355013333333333
"['cytosol', 'plasma membrane']","['protein modification process', 'protein maturation']","['RNA binding', 'catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.11923319999999998
"['mitochondrion', 'organelle']","['programmed cell death', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'hydrolase activity']",0.2079592
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']","['immune system process', 'mitochondrion organization', 'programmed cell death', 'reproductive process', 'signaling', 'anatomical structure development']","['receptor ligand activity', 'molecular function regulator activity']",0.4998231333333333
"['extracellular region', 'nucleus', 'cytosol', 'plasma membrane', 'cilium', 'organelle']","['microtubule-based movement', 'vesicle-mediated transport', 'signaling', 'cilium organization', 'anatomical structure development', 'nervous system process']",None,0.15567086666666666
"['nucleus', 'nucleoplasm', 'nucleolus', 'cytosol', 'plasma membrane', 'organelle']","['mitotic cell cycle', 'DNA repair', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'snRNA metabolic process', 'protein modification process']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein', 'catalytic activity, acting on DNA', 'ATP-dependent activity']",0.038955733333333326
"['nucleus', 'chromosome', 'mitochondrion', 'cytosol', 'organelle']","['vitamin metabolic process', 'sulfur compound metabolic process', 'protein modification process']","['catalytic activity', 'ligase activity', 'catalytic activity, acting on a protein']",0.31060293333333333
"['nucleus', 'chromosome', 'cytosol', 'cytoskeleton', 'plasma membrane', 'organelle']","['mitotic cell cycle', 'chromosome segregation', 'signaling', 'protein-containing complex assembly', 'mitotic nuclear division']",None,0.22972653333333332
"['nucleus', 'nucleoplasm', 'chromosome', 'Golgi apparatus', 'cytosol', 'plasma membrane', 'organelle']","['immune system process', 'programmed cell death', 'signaling', 'cell differentiation', 'protein modification process', 'anatomical structure development']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.06453633333333333
"['nucleus', 'nucleoplasm', 'organelle']","['DNA replication', 'DNA repair', 'chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'mRNA metabolic process', 'cell differentiation', 'protein modification process', 'anatomical structure development']","['DNA binding', 'RNA binding', 'catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.04145106666666666
"['lysosome', 'vacuole', 'endoplasmic reticulum', 'Golgi apparatus', 'cytosol', 'plasma membrane', 'organelle']","['autophagy', 'mitochondrion organization']",None,0.12184973333333331
"['endosome', 'Golgi apparatus', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['protein catabolic process', 'protein modification process']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.14683693333333334
"['extracellular region', 'extracellular space', 'nucleus', 'lysosome', 'vacuole', 'Golgi apparatus', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['lipid metabolic process', 'sulfur compound metabolic process', 'lysosome organization', 'programmed cell death', 'vesicle-mediated transport', 'signaling', 'cell differentiation', 'protein catabolic process', 'protein modification process', 'anatomical structure development', 'nervous system process', 'nucleobase-containing small molecule metabolic process', 'membrane organization', 'carbohydrate derivative metabolic process']","['catalytic activity', 'lipid binding', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.16380293333333334
"['extracellular region', 'extracellular space', 'cytosol', 'ribosome', 'organelle']","['cytoplasmic translation', 'ribosome biogenesis']","['RNA binding', 'structural molecule activity']",0.16546539999999998
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'lysosome', 'vacuole', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'cilium', 'cytoplasmic vesicle', 'organelle']","['protein folding', 'reproductive process', 'telomere organization']","['catalytic activity', 'hydrolase activity', 'protein folding chaperone', 'ATP-dependent activity']",0.0387686
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'cytoplasmic vesicle', 'organelle']","['protein folding', 'reproductive process', 'telomere organization']","['RNA binding', 'catalytic activity', 'hydrolase activity', 'protein folding chaperone', 'ATP-dependent activity']",0.033762266666666665
"['extracellular region', 'extracellular space', 'nucleus', 'nuclear envelope', 'nucleoplasm', 'lysosome', 'vacuole', 'cytosol', 'cytoskeleton', 'external encapsulating structure', 'extracellular matrix', 'cytoplasmic vesicle', 'organelle']","['cytokinesis', 'vesicle-mediated transport']","['RNA binding', 'lipid binding']",0.09052860000000001
"['nucleus', 'nucleoplasm', 'organelle']",['mRNA metabolic process'],"['RNA binding', 'catalytic activity', 'transferase activity']",0.026173
"['nucleus', 'nuclear envelope', 'nucleolus', 'cytosol', 'ribosome', 'organelle']","['inflammatory response', 'programmed cell death', 'mRNA metabolic process', 'reproductive process', 'signaling', 'cell differentiation', 'regulatory ncRNA-mediated gene silencing', 'protein modification process', 'anatomical structure development', 'protein-containing complex assembly']","['RNA binding', 'translation regulator activity', 'molecular adaptor activity']",0.021394533333333337
"['nucleus', 'cytosol', 'organelle']","['mRNA metabolic process', 'protein modification process', 'anatomical structure development']","['RNA binding', 'translation regulator activity']",0.04748993333333333
"['extracellular region', 'extracellular space', 'lysosome', 'endosome', 'vacuole', 'lipid droplet', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['intracellular protein transport', 'vesicle-mediated transport']","['catalytic activity', 'GTPase activity', 'hydrolase activity', 'molecular function regulator activity']",0.0172408
"['extracellular region', 'extracellular space', 'mitochondrion', 'lysosome', 'endosome', 'vacuole', 'Golgi apparatus', 'lipid droplet', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['lipid metabolic process', 'intracellular protein transport', 'autophagy', 'lysosome organization', 'vesicle-mediated transport', 'signaling', 'protein catabolic process', 'membrane organization', 'protein localization to plasma membrane']","['catalytic activity', 'GTPase activity', 'hydrolase activity', 'molecular function regulator activity']",0.007667666666666668
"['extracellular region', 'extracellular space', 'lysosome', 'endosome', 'vacuole', 'endoplasmic reticulum', 'Golgi apparatus', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling']","['catalytic activity', 'GTPase activity', 'hydrolase activity']",0.03555386666666667
"['microtubule organizing center', 'cytoskeleton', 'plasma membrane', 'cilium', 'organelle']",['intracellular protein transport'],"['catalytic activity', 'GTPase activity', 'hydrolase activity']",0.0775732
['plasma membrane'],"['signaling', 'cell differentiation', 'anatomical structure development', 'nervous system process']","['catalytic activity', 'hydrolase activity']",0.15307886666666667
"['nucleus', 'cytosol', 'organelle']",['lipid metabolic process'],['lipid binding'],0.46835753333333335
['plasma membrane'],"['cell adhesion', 'transmembrane transport']","['transporter activity', 'molecular function regulator activity', 'ATP-dependent activity']",0.2403783333333333
"['extracellular region', 'extracellular space', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['immune system process', 'muscle system process', 'circulatory system process', 'renal system process', 'lipid metabolic process', 'inflammatory response', 'nervous system process', 'transmembrane transport', 'defense response to other organism']",['transporter activity'],0.19846339999999998
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'plasma membrane', 'organelle']","['circulatory system process', 'nervous system process', 'transmembrane transport']",['transporter activity'],0.1803022
None,"['DNA-templated transcription', 'regulation of DNA-templated transcription', 'autophagy', 'programmed cell death', 'signaling']",None,0.3930873333333333
"['nucleus', 'nucleoplasm', 'mitochondrion', 'ribosome', 'organelle']","['programmed cell death', 'signaling', 'mitochondrial gene expression']","['RNA binding', 'structural molecule activity']",0.20669693333333333
"['nucleus', 'nucleoplasm', 'chromosome', 'organelle']","['immune system process', 'carbohydrate metabolic process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'lipid metabolic process', 'programmed cell death', 'signaling', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'lipid binding', 'molecular transducer activity', 'transcription regulator activity']",0.16111913333333333
"['cytosol', 'plasma membrane']","['immune system process', 'signaling', 'cell differentiation', 'protein modification process', 'defense response to other organism']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.17059946666666667
"['nucleus', 'nucleoplasm', 'cytosol', 'plasma membrane', 'organelle']","['mitotic cell cycle', 'immune system process', 'cell adhesion', 'signaling', 'cell junction organization', 'protein modification process', 'cell motility']","['catalytic activity', 'cytoskeletal protein binding', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.09771446666666668
"['extracellular region', 'extracellular space']","['programmed cell death', 'reproductive process', 'signaling', 'cell differentiation', 'wound healing', 'anatomical structure development', 'cell motility']","['receptor ligand activity', 'molecular function regulator activity']",0.6425065333333334
"['extracellular region', 'extracellular space', 'plasma membrane', 'external encapsulating structure', 'extracellular matrix']","['cell differentiation', 'extracellular matrix organization', 'protein modification process', 'anatomical structure development']","['catalytic activity', 'hydrolase activity', 'molecular function regulator activity', 'catalytic activity, acting on a protein']",0.13519766666666666
"['extracellular region', 'extracellular space', 'Golgi apparatus', 'plasma membrane', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['extracellular matrix organization', 'anatomical structure development', 'protein maturation']","['catalytic activity', 'hydrolase activity', 'molecular function regulator activity', 'catalytic activity, acting on a protein']",0.02348753333333333
"['nucleus', 'nucleoplasm', 'nucleolus', 'organelle']","['mRNA metabolic process', 'anatomical structure development']",['RNA binding'],0.017836266666666666
"['nucleus', 'nucleoplasm', 'chromosome', 'mitochondrion', 'organelle']","['mitotic cell cycle', 'DNA replication', 'DNA repair', 'mitochondrion organization', 'signaling', 'telomere organization']","['DNA binding', 'RNA binding', 'catalytic activity', 'hydrolase activity', 'catalytic activity, acting on DNA', 'ATP-dependent activity']",0.2152186
"['nucleus', 'nucleoplasm', 'chromosome', 'cytoskeleton', 'organelle']","['mitotic cell cycle', 'immune system process', 'DNA repair', 'chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'chromosome segregation', 'cell adhesion', 'reproductive process', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'catalytic activity', 'hydrolase activity', 'histone binding', 'catalytic activity, acting on DNA', 'transcription regulator activity', 'ATP-dependent activity']",0.030900799999999996
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'chromosome', 'nucleolus', 'organelle']","['mitotic cell cycle', 'immune system process', 'DNA repair', 'chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'chromosome segregation', 'cell adhesion', 'signaling', 'cell differentiation', 'anatomical structure development', 'protein-containing complex assembly']","['DNA binding', 'RNA binding', 'catalytic activity', 'hydrolase activity', 'histone binding', 'catalytic activity, acting on DNA', 'transcription regulator activity', 'ATP-dependent activity']",0.0077610000000000005
"['nucleus', 'nucleolus', 'mitochondrion', 'organelle']","['carbohydrate metabolic process', 'generation of precursor metabolites and energy']","['catalytic activity', 'oxidoreductase activity']",0.05516066666666667
"['extracellular region', 'extracellular space', 'cytosol', 'organelle']","['carbohydrate metabolic process', 'generation of precursor metabolites and energy', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'transferase activity']",0.1633596666666667
"['extracellular region', 'extracellular space', 'endoplasmic reticulum', 'organelle']",None,None,0.10057886666666667
"['mitochondrion', 'endoplasmic reticulum', 'Golgi apparatus', 'lipid droplet', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['intracellular protein transport', 'mitochondrion organization', 'programmed cell death', 'vesicle-mediated transport', 'reproductive process', 'signaling', 'protein catabolic process']",None,0.17675233333333332
['cytosol'],None,"['catalytic activity', 'transferase activity']",0.3110148
"['extracellular region', 'extracellular space', 'cytosol', 'organelle']","['circulatory system process', 'carbohydrate metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'isomerase activity', 'molecular function regulator activity']",0.2870958
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'chromosome', 'microtubule organizing center', 'cytosol', 'cytoskeleton', 'organelle']","['circulatory system process', 'respiratory system process', 'carbohydrate metabolic process', 'chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'amino acid metabolic process', 'lipid metabolic process', 'cytoskeleton organization', 'microtubule-based movement', 'programmed cell death', 'signaling', 'cell differentiation', 'regulatory ncRNA-mediated gene silencing', 'cell junction organization', 'protein modification process', 'anatomical structure development', 'cell motility', 'nervous system process', 'protein-containing complex assembly']","['DNA binding', 'RNA binding', 'molecular adaptor activity', 'transcription regulator activity']",0.09214253333333332
"['nucleus', 'nucleoplasm', 'chromosome', 'organelle']","['chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'protein modification process', 'protein-containing complex assembly']","['molecular adaptor activity', 'transcription regulator activity']",0.08217753333333334
"['nucleus', 'nucleoplasm', 'endosome', 'lipid droplet', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'cell adhesion', 'signaling', 'protein modification process', 'defense response to other organism']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.325161
"['nucleus', 'Golgi apparatus', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['mitotic cell cycle', 'mitochondrion organization', 'vesicle-mediated transport', 'signaling', 'cell differentiation', 'extracellular matrix organization', 'anatomical structure development', 'membrane organization', 'mitotic nuclear division']",['molecular adaptor activity'],0.20697993333333334
"['peroxisome', 'endoplasmic reticulum', 'cytosol', 'organelle']","['lipid metabolic process', 'anatomical structure development']","['catalytic activity', 'oxidoreductase activity']",0.18849566666666667
"['mitochondrion', 'organelle']","['amino acid metabolic process', 'signaling', 'anatomical structure development']","['catalytic activity', 'oxidoreductase activity']",0.1583746
"['lysosome', 'vacuole', 'endoplasmic reticulum', 'Golgi apparatus', 'plasma membrane', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['vesicle-mediated transport', 'signaling', 'cell differentiation', 'protein catabolic process', 'anatomical structure development', 'cell motility', 'transmembrane transport']",['molecular function regulator activity'],0.15907953333333333
"['peroxisome', 'cytosol', 'organelle']","['lipid metabolic process', 'sulfur compound metabolic process', 'reproductive process', 'cell differentiation', 'anatomical structure development', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'oxidoreductase activity', 'lyase activity', 'isomerase activity']",0.1854326
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'cytosol', 'cytoplasmic vesicle', 'organelle']",['protein catabolic process'],"['catalytic activity', 'hydrolase activity', 'catalytic activity, acting on a protein']",0.020702866666666667
"['nucleus', 'nucleoplasm', 'cytosol', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'signaling', 'protein catabolic process', 'protein modification process']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.017038333333333332
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']","['cell differentiation', 'cell junction organization', 'anatomical structure development', 'cell motility', 'transmembrane transport']",['transporter activity'],0.0168794
['plasma membrane'],"['immune system process', 'inflammatory response', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']",['molecular transducer activity'],0.1681953333333333
"['endosome', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['immune system process', 'inflammatory response', 'programmed cell death', 'signaling', 'cell motility', 'transmembrane transport']","['virus receptor activity', 'catalytic activity', 'cytoskeletal protein binding', 'hydrolase activity', 'molecular transducer activity']",0.21929973333333336
"['plasma membrane', 'cilium', 'organelle']","['immune system process', 'DNA recombination', 'inflammatory response', 'microtubule-based movement', 'reproductive process', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']",['molecular transducer activity'],0.2647011333333333
['plasma membrane'],"['immune system process', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']",['molecular transducer activity'],0.17095626666666666
"['extracellular region', 'extracellular space', 'lysosome', 'vacuole', 'organelle']","['sulfur compound metabolic process', 'protein catabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'hydrolase activity']",0.14727766666666667
"['nucleus', 'nucleoplasm', 'chromosome', 'cytosol', 'organelle']","['mitotic cell cycle', 'immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'lipid metabolic process', 'sulfur compound metabolic process', 'inflammatory response', 'cell adhesion', 'programmed cell death', 'reproductive process', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility', 'defense response to other organism']","['DNA binding', 'transcription regulator activity']",0.038628199999999994
"['nucleus', 'nucleoplasm', 'Golgi apparatus', 'plasma membrane', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['cell adhesion', 'programmed cell death', 'vesicle-mediated transport', 'signaling', 'cell differentiation', 'extracellular matrix organization', 'anatomical structure development']",None,0.17458533333333331
['plasma membrane'],"['lipid metabolic process', 'cell differentiation', 'anatomical structure development', 'transmembrane transport']",['transporter activity'],0.07260373333333334
"['lysosome', 'endosome', 'vacuole', 'Golgi apparatus', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'signaling', 'transmembrane transport', 'membrane organization']",['transporter activity'],0.01813213333333334
"['lysosome', 'endosome', 'vacuole', 'endoplasmic reticulum', 'Golgi apparatus', 'cilium', 'cytoplasmic vesicle', 'organelle']","['cilium organization', 'transmembrane transport']",['transporter activity'],0.016796333333333333
"['lysosome', 'endosome', 'vacuole', 'Golgi apparatus', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['renal system process', 'vesicle-mediated transport', 'transmembrane transport']",['transporter activity'],0.06160486666666666
"['lysosome', 'endosome', 'vacuole', 'cytoplasmic vesicle', 'organelle']","['signaling', 'transmembrane transport']",['transporter activity'],0.0399402
"['lysosome', 'vacuole', 'organelle']",['transmembrane transport'],['transporter activity'],0.07917786666666667
['plasma membrane'],"['cytoskeleton organization', 'cell adhesion', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']",['molecular transducer activity'],0.11025566666666668
"['extracellular region', 'extracellular space', 'lysosome', 'endosome', 'vacuole', 'endoplasmic reticulum', 'Golgi apparatus', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['immune system process', 'inflammatory response', 'vesicle-mediated transport', 'signaling', 'membrane organization', 'defense response to other organism', 'vesicle-mediated transport']",['molecular adaptor activity'],0.18911926666666667
"['lysosome', 'vacuole', 'Golgi apparatus', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['signaling', 'nervous system process']",['molecular transducer activity'],0.37628893333333335
"['nucleus', 'nucleoplasm', 'nucleolus', 'cytosol', 'ribosome', 'organelle']","['immune system process', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'programmed cell death', 'signaling', 'cell differentiation', 'protein modification process', 'anatomical structure development', 'defense response to other organism']","['catalytic activity', 'transferase activity', 'molecular function regulator activity', 'catalytic activity, acting on a protein']",0.0041936000000000005
"['nucleus', 'nucleoplasm', 'cytosol', 'plasma membrane', 'organelle']","['immune system process', 'lipid metabolic process', 'cell adhesion', 'programmed cell death', 'signaling', 'protein modification process', 'anatomical structure development']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.1586316
"['nucleus', 'nucleoplasm', 'organelle']","['mRNA metabolic process', 'anatomical structure development', 'nervous system process']",['RNA binding'],0.2730580666666667
"['nucleus', 'nucleoplasm', 'organelle']","['cell adhesion', 'cell differentiation', 'protein modification process', 'anatomical structure development', 'cell motility']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.23902859999999998
"['nucleus', 'nucleoplasm', 'organelle']",None,None,0.33029013333333335
"['nucleus', 'nucleoplasm', 'cytosol', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.14678046666666666
['plasma membrane'],"['immune system process', 'inflammatory response', 'reproductive process', 'signaling', 'nucleobase-containing small molecule metabolic process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'cyclase activity', 'lyase activity']",0.23256559999999998
['cytosol'],['lipid metabolic process'],"['catalytic activity', 'lipid binding', 'oxidoreductase activity']",0.20783666666666667
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['chromatin organization', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'signaling']","['DNA binding', 'RNA binding', 'cytoskeletal protein binding', 'receptor ligand activity', 'molecular function regulator activity', 'transcription regulator activity']",0.15862713333333336
"['extracellular region', 'extracellular space', 'lysosome', 'vacuole', 'Golgi apparatus', 'external encapsulating structure', 'extracellular matrix', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'extracellular matrix organization', 'nervous system process']",['structural molecule activity'],0.16055673333333334
"['extracellular region', 'extracellular space', 'lysosome', 'vacuole', 'Golgi apparatus', 'external encapsulating structure', 'extracellular matrix', 'organelle']",['anatomical structure development'],['structural molecule activity'],0.11544013333333332
"['cytoskeleton', 'organelle']","['muscle system process', 'cytoskeleton organization']",['cytoskeletal protein binding'],0.026918133333333333
